chunkSize,fpr,n,absence,presenceMedian,presenceMean,bloomFilterSize
1, 0.1, 500, 201, 417, 414, 304
1, 0.1, 1000, 233, 545, 536, 600
1, 0.1, 5000, 297, 833, 813, 3000
1, 0.1, 10000, 329, 961, 939, 5992
1, 0.01, 500, 233, 729, 731, 600
1, 0.01, 1000, 265, 953, 947, 1200
1, 0.01, 5000, 329, 1433, 1429, 5992
1, 0.01, 10000, 361, 1657, 1654, 11984
1, 0.001, 500, 233, 1009, 995, 904
1, 0.001, 1000, 265, 1297, 1301, 1800
1, 0.001, 5000, 361, 2097, 2073, 8992
1, 0.001, 10000, 393, 2417, 2391, 17976
4, 0.1, 500, 225, 289, 297, 304
4, 0.1, 1000, 257, 385, 397, 600
4, 0.1, 5000, 321, 673, 657, 3000
4, 0.1, 10000, 353, 801, 781, 5992
4, 0.01, 500, 257, 545, 523, 600
4, 0.01, 1000, 289, 705, 704, 1200
4, 0.01, 5000, 353, 1153, 1158, 5992
4, 0.01, 10000, 385, 1377, 1378, 11984
4, 0.001, 500, 257, 705, 699, 904
4, 0.001, 1000, 289, 961, 956, 1800
4, 0.001, 5000, 385, 1697, 1684, 8992
4, 0.001, 10000, 417, 2017, 1996, 17976
8, 0.1, 500, 257, 353, 346, 304
8, 0.1, 1000, 289, 417, 425, 600
8, 0.1, 5000, 353, 673, 664, 3000
8, 0.1, 10000, 385, 801, 784, 5992
8, 0.01, 500, 289, 609, 609, 600
8, 0.01, 1000, 321, 769, 750, 1200
8, 0.01, 5000, 385, 1185, 1169, 5992
8, 0.01, 10000, 417, 1409, 1383, 11984
8, 0.001, 500, 289, 833, 825, 904
8, 0.001, 1000, 321, 1025, 1026, 1800
8, 0.001, 5000, 417, 1697, 1699, 8992
8, 0.001, 10000, 449, 2017, 2004, 17976
